                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.1852,                 1.3063,                0.61632,                0.84021,                 0.9527,                0.58333,                0.67974,                0.38758,                0.72746,                  0.375,                0.43774,                0.22991,                 1.2628,                0.77188,                0.61733,                 0.8649,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1568,                 1.3876,                0.59886,                0.81907,                0.88081,                0.61625,                0.70317,                0.40715,                0.50265,                0.45833,                0.46618,                0.24443,                 1.2668,                0.77232,                0.60137,                0.85572,               0.005941,               0.005941,               0.005941
                     84,                 1.1564,                 1.2795,                0.59904,                0.83458,                0.62852,                0.63477,                0.64007,                0.36018,                0.44845,                0.47467,                0.40274,                0.22117,                  1.323,                0.73983,                0.90025,                0.85145,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1537,                 1.2974,                0.59999,                0.83064,                 0.9215,                0.48972,                0.58623,                0.34664,                0.45992,                0.42611,                0.39921,                0.19224,                 1.2859,                0.81704,                0.98647,                0.86667,               0.005842,               0.005842,               0.005842
                     86,                 1.1241,                 1.3266,                0.59209,                0.83086,                0.65352,                0.62888,                0.62987,                0.33923,                   0.48,                0.45833,                 0.3874,                 0.1951,                 1.3848,                0.80925,                0.90089,                0.88081,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1613,                 1.3914,                0.60234,                0.84415,                0.77246,                  0.625,                0.65407,                0.33337,                0.49219,                    0.5,                0.45972,                0.22784,                 1.3106,                0.81045,                0.79221,                0.87184,               0.005743,               0.005743,               0.005743
                     88,                 1.1468,                 1.3031,                0.59469,                0.84102,                0.81973,                  0.625,                0.65908,                0.35432,                0.54649,                0.41667,                0.43267,                0.22399,                 1.4263,                0.81407,                 0.7793,                0.89009,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.182,                 1.3161,                0.58964,                0.83457,                0.77042,                0.54167,                0.60275,                0.33155,                0.49655,                0.41667,                0.37863,                0.18576,                 1.3836,                0.85139,                  0.933,                0.87693,               0.005644,               0.005644,               0.005644
                     90,                  1.155,                 1.2767,                0.58925,                0.83472,                0.72004,                0.64347,                0.65394,                0.37626,                0.42183,                  0.375,                0.39375,                0.20716,                 1.2808,                0.83359,                0.82721,                 0.8548,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1214,                  1.326,                0.57428,                0.82697,                0.71164,                  0.625,                0.61378,                0.37423,                0.51607,                0.41667,                0.44303,                0.21153,                 1.2542,                0.83737,                0.92456,                0.86518,               0.005545,               0.005545,               0.005545
